StarID,ProperName,X,Y,Z
508,,65.35222,1.73605,-39.97471
509,,89.0069,2.38269,15.24361
510,,187.19842,5.01154,0.3969
511,,198.86586,5.33866,-110.96102
512,,17.61502,0.47586,478.1443
513,,161.9181,4.37834,-70.5594
514,,135.378,3.67464,-4.46196
515,,8401008.24152,228660.86493,-5419481.03924
516,,95.16202,2.59792,-138.50643
517,,10.61349,0.28992,17.28321
518,,80.74929,2.21323,-167.40265
519,,417.86747,11.45715,-79.57965
520,,212.18418,5.84441,-4.58721
521,,16.79028,0.46247,-19.37355
522,,7.18804,0.19811,-16.02952
523,,135.04307,3.73201,-28.75763
524,,87.85805,2.42944,76.13068
525,,103.11429,2.85159,182.00563
526,,117.84791,3.2641,301.38694
527,,193.78829,5.38222,-88.76785
528,,141.22992,3.95478,-46.01069
529,,90.50562,2.54098,83.70358
530,,131.06004,3.68494,271.17158
531,,58.43363,1.64436,-209.3843
532,,9572542.53352,269537.87166,-2879892.14722
533,,165.98,4.67869,-219.81613
534,,121.60493,3.43595,-115.96131
535,,306.87397,8.68952,157.03159
536,,237.86001,6.77066,-93.73966
537,,74.9949,2.13672,7.65426
538,,117.34602,3.36283,112.50729
539,,171.15172,4.92451,93.17313
540,,67.2874,1.9365,-73.68021
541,,130.99698,3.77236,198.10581
542,,443.00964,12.7669,-209.45562
543,,11.97684,0.34546,6.64763
544,,208.0118,6.02946,138.54506
545,,160.91783,4.66867,-117.32673
546,,161.97896,4.70855,-74.26182
547,,138.975,4.04448,385.53234
548,,4131242.34275,120498.44913,9105949.52924
549,,229.97904,6.72247,345.30825
550,,186.8015,5.48748,28.45458
551,,517.50161,15.25688,-56.80377
552,,405.47873,11.96501,-156.46005
553,,98.17224,2.90173,-24.0307
554,,204.18414,6.03918,36.27259
555,,109.76684,3.24931,-8.35304
556,,144.13545,4.26711,62.68082
557,,201.32681,5.96384,-571.61298
558,,1293.73703,38.39324,1276.93209
559,,35.9266,1.07157,-15.33631
560,,117.26655,3.50006,292.83047
561,,253.62847,7.57614,95.17177
562,,172.50216,5.15343,104.23151
563,,903.96522,27.04704,-932.06243
564,,150.45531,4.51276,4.89082
565,,485.61072,14.56695,566.46882
566,,210.87696,6.33998,-170.09755
567,,492.25618,14.80218,-707.55045
568,,53.3162,1.60548,-3.37993
